Car Name,Transmission,Mileage,Price,Location
2018 Honda City 1.5 V i-VTEC Sedan - LOW MILEAGE FULL BODY...,Automatic,50 - 55K KM,"RM 52,999","Kuala Lumpur, Sungai Besi"
2018 Mercedes-Benz C43 AMG 3.0 4MATIC Sedan - DIGITAL METE...,Automatic,85 - 90K KM,"RM 199,999","Kuala Lumpur, Sungai Besi"
2016/2017 BMW 330i 2.0 M Sport Sedan - B48 ENGINE FULL SPE...,Automatic,70 - 75K KM,"RM 104,999","Kuala Lumpur, Sungai Besi"
2019 Mercedes-Benz C300 2.0 AMG Line Sedan - Burmester 3D ...,Automatic,60 - 65K KM,"RM 149,999","Kuala Lumpur, Sungai Besi"
2017/2021 Mercedes-Benz E43 AMG 3.0 4MATIC Sedan - FULL SE...,Automatic,65 - 70K KM,"RM 196,999","Kuala Lumpur, Sungai Besi"
2021 BMW X1 2.0 sDrive20i M Sport SUV - FULL SERVICE RECOR...,Automatic,30 - 35K KM,"RM 129,999","Kuala Lumpur, Sungai Besi"
2023 Toyota Alphard 2.5 Z MPV,Automatic,5 - 10K KM,"RM 365,000","Johor, Johor Bahru"
2018 Kia Optima JF 2.0 GT Sedan - 5 YRS WARRANTY,Automatic,85 - 90K KM,"RM 76,800","Kuala Lumpur, Salak Selatan"
2023 Toyota Prius 2.0 HEV Z Hatchback,Automatic,5 - 10K KM,"-7% RM 205,000",Putrajaya
2020 Porsche 718 2.0 Boxster Convertible - cayman,Automatic,25 - 30K KM,"RM 330,000",Putrajaya
2022 Toyota Voxy 2.0 Kirameki MPV - hybrid SZ 3504,Automatic,10 - 15K KM,"RM 213,000","Kuala Lumpur, Sungai Besi"
2023 Lexus RX500h 2.4 F Sport SUV,Automatic,0 - 5K KM,"RM 419,000","Selangor, Balakong"
2021 Toyota Alphard 2.5 G S MPV - S 8 SEATER DIM BSM PRE C...,Automatic,50 - 55K KM,"RM 178,000","Kuala Lumpur, Cheras"
2018 BMW 330e 2.0 M Sport Sedan - CAR KING - CONDITION PER...,Automatic,100 - 105K KM,"RM 63,999","Selangor, Cheras"
2014 BMW 316i 1.6 Sedan - . CAR KING - CONDITION PERFECT -...,Automatic,115 - 120K KM,"RM 41,999","Selangor, Cheras"
2017 BMW X5 2.0 xDrive40e M Sport SUV - CAR KING - CONDITI...,Automatic,105 - 110K KM,"RM 79,999","Selangor, Cheras"
